Date,Close,Open,High,Low,Volume,Market Cap
28-04-2013,7297.67,10286.93,7393.91,7182.94,0,1.13E+11
29-04-2013,7838.4,7310.39,7996.06,7273.92,0,87204932007
30-04-2013,7478.2,7809.12,7929.81,7195.8,0,83666755769
01-05-2013,6276.51,7478.2,7519.09,5779.18,0,69883757144
02-05-2013,5660.3,6243.79,6762.93,4968.92,0,62690963620
03-05-2013,5258.95,5716.25,5836.75,4252.42,0,58426540079
04-05-2013,6052.5,5277.78,6187,4976.5,0,67267031062
05-05-2013,6235.96,6074.02,6391.44,5764.29,0,69331692842
06-05-2013,6082.73,6239.72,6750.5,5771.36,0,67197440628
07-05-2013,6034.94,6080.02,6140.16,5288.01,0,67196752344
08-05-2013,6149.6,5932.1,6267.17,5932.1,0,68416663066
09-05-2013,6111.22,6129.78,6166.55,5901.9,0,67933090935
10-05-2013,6422.56,6118.22,6685.6,6052.76,0,70809185299
11-05-2013,6315.32,6449.96,6503.61,6192.95,0,70374570420
12-05-2013,6302,6337.07,6436.21,6216.24,0,70252647850
13-05-2013,6467.66,6292.14,6496.4,6274.6,0,72100908575
14-05-2013,6109.09,6467.66,6566.24,6040.6,0,68189199405
15-05-2013,6256.97,6103.61,6344.07,5670.77,0,69836638687
16-05-2013,6505.08,6256.97,6505.08,6145.75,0,72623313392
17-05-2013,6751.06,6474.95,6876.46,6402.08,0,75245725630
18-05-2013,6777.57,6777.68,6873.72,6711.82,0,75711051076
19-05-2013,6694.81,6761.82,6832.56,6562.06,0,74812674087
20-05-2013,6722.2,6722.8,6803.11,6605.64,0,74840399312
21-05-2013,6808.53,6723.3,6771.76,6686.55,0,75708140544
22-05-2013,6894.42,6809.09,6900.66,6746.6,0,76783242436
23-05-2013,7057.19,6889.47,7070.22,6850.51,0,78898891179
24-05-2013,7433.89,7034.91,7470.17,7001.29,0,83052641889
25-05-2013,7365.8,7428.31,7434.95,7193.91,0,82484848984
26-05-2013,7449.52,7366.14,7590.16,7289.62,0,83452303167
27-05-2013,7209.61,7450.63,7526.44,6929.27,0,81149386932
28-05-2013,7236.9,7210.99,7256,7034.23,0,80361161436
29-05-2013,7447.17,7236.9,7463.49,7172.05,0,83237509798
30-05-2013,7261.69,7444.35,7444.35,7160.26,0,81342086314
31-05-2013,7297.53,7261.69,7348.44,7150.45,0,81630921876
01-06-2013,7314.5,7287.06,7341.65,7195.65,0,82134897454
02-06-2013,6918.06,7314.5,7320.16,6508.38,0,77717987369
03-06-2013,6925.1,6929.82,6929.82,6587.06,0,77710664835
04-06-2013,6852.34,6840.96,7020.49,6722,0,77360025300
05-06-2013,6899.99,6851.21,7017.98,6764.7,0,77230533864
06-06-2013,6705.94,6914.17,6977.31,6663.32,0,75321902544
07-06-2013,6361.07,6761.07,6753.25,6072.33,0,71336348369
08-06-2013,6178.52,6332.55,6356.23,6121.47,0,69584907336
09-06-2013,5705,6155.24,6217.88,5048.92,0,64274954625
10-06-2013,6184.25,5729.93,6281.26,5419.86,0,68382351812
11-06-2013,6352.14,6184.25,6392.97,6116.24,0,71400915259
12-06-2013,6253.23,6357.97,6520.54,6225.79,0,71160841496
13-06-2013,6030.96,6289.43,6412.84,5829.73,0,67859714468
14-06-2013,5747.79,6028,6019.2,5659.5,0,65453851848
15-06-2013,5748.32,5749,5961.71,5634.02,0,64920329761
16-06-2013,5720.83,5737.5,5840.98,5688.44,0,64636367563
17-06-2013,5908.77,5743.25,5876.05,5691.51,0,66080068703
18-06-2013,6318.34,5923.29,6534.44,5870.02,0,70545953667
19-06-2013,6354.82,6297.75,6472.96,6212.05,0,72019323460
20-06-2013,6561.64,6354.87,6808.85,6404.04,0,73152589329
21-06-2013,6490.07,6629.55,6865.48,6382.49,0,73819992128
22-06-2013,6418.94,6490.07,6517.09,6372.35,0,72671559111
23-06-2013,6377.45,6413.01,6448.58,6296.49,0,72227992062
24-06-2013,6143.67,6395.23,6420.96,6038.6,0,68986470461
25-06-2013,6201.66,6104.98,6345.61,6032.32,0,70449551172
26-06-2013,6314.36,6164.61,6315.63,6241.02,0,70345416232
27-06-2013,6105.49,6314.36,6314.36,6085.21,0,69850666011
28-06-2013,5633.8,6123.55,6084.89,5521.05,0,64637286035
29-06-2013,5654.33,5634.45,5951.7,5535.64,0,64177610741
30-06-2013,5750.76,5654.63,5840.53,5608.39,0,65294217424
01-07-2013,5227.97,5804.09,5788.6,5123.9,0,59526886629
