Date,Open,High,Low,Close,Volume,Market Cap
01-10-2017,1.42,2.10,1.13,1.63,3269736454.00,0.00
02-10-2017,1.61,1.96,1.30,1.69,3764265097.00,41070252577.00
03-10-2017,1.68,1.80,1.35,1.36,1110041329.00,35244632747.00
04-10-2017,1.37,1.48,1.37,1.43,589323274.00,37233207971.00
05-10-2017,1.43,1.44,1.36,1.40,361702213.00,36227966120.00
06-10-2017,1.39,1.41,1.20,1.21,506835449.00,31310489009.00
07-10-2017,1.20,1.38,1.15,1.37,484620984.00,35502597558.00
08-10-2017,1.37,1.54,1.32,1.34,505298609.00,34716453959.00
09-10-2017,1.33,1.49,1.33,1.45,304933841.00,37490928833.00
10-10-2017,1.45,1.47,1.39,1.40,178117960.00,36481214939.00
11-10-2017,1.40,1.47,1.37,1.47,235338480.00,38097169390.00
12-10-2017,1.47,1.74,1.42,1.71,565543696.00,44343699158.00
13-10-2017,1.70,2.19,1.64,2.18,1015664680.00,56737428327.00
14-10-2017,2.19,2.48,1.89,2.10,1801962774.00,54455059376.00
15-10-2017,2.13,2.18,1.86,1.94,459657328.00,50402074153.00
16-10-2017,1.94,1.99,1.85,1.87,400852161.00,48556316201.00
17-10-2017,1.87,1.92,1.65,1.77,455446331.00,45653323391.00
18-10-2017,1.77,1.78,1.60,1.74,151910105.00,44998058296.00
19-10-2017,1.74,1.76,1.68,1.76,188467709.00,45583802894.00
20-10-2017,1.75,2.01,1.73,1.99,566479486.00,51611222626.00
21-10-2017,2.00,2.00,1.82,1.85,347554136.00,47944496631.00
22-10-2017,1.86,1.87,1.76,1.80,190551556.00,46751793776.00
23-10-2017,1.80,1.82,1.58,1.65,228713761.00,42915721490.00
24-10-2017,1.65,1.88,1.55,1.77,493454217.00,45839096290.00
25-10-2017,1.76,1.81,1.69,1.79,166697864.00,46448079820.00
26-10-2017,1.78,1.79,1.72,1.76,158256133.00,45667850160.00
27-10-2017,1.76,1.78,1.67,1.72,162816655.00,44343900844.00
28-10-2017,1.71,1.75,1.66,1.68,113125781.00,43614565078.00
29-10-2017,1.68,1.94,1.67,1.86,308667816.00,48236011680.00
30-10-2017,1.84,1.87,1.79,1.85,245895988.00,48191838317.00
31-10-2017,1.85,1.99,1.82,1.97,473693583.00,51176715336.00
01-11-2017,1.89,1.89,1.48,1.48,607441177.00,38582763017.00
02-11-2017,1.49,1.61,1.18,1.38,398015628.00,35662916380.00
03-11-2017,1.38,1.50,1.28,1.46,183125686.00,37881949866.00
04-11-2017,1.46,1.54,1.42,1.42,169567686.00,36856019263.00
05-11-2017,1.42,1.49,1.33,1.33,154676647.00,34534579241.00
06-11-2017,1.35,1.53,1.33,1.41,296359378.00,36619875375.00
07-11-2017,1.41,1.51,1.38,1.44,164105075.00,37185162361.00
08-11-2017,1.43,1.71,1.41,1.63,414173350.00,42477597867.00
09-11-2017,1.63,2.28,1.62,2.08,1214962123.00,53946818738.00
10-11-2017,2.09,2.17,1.72,1.77,439637697.00,45681798094.00
11-11-2017,1.75,1.93,1.67,1.79,360479455.00,46352453939.00
12-11-2017,1.79,1.82,1.47,1.56,474381090.00,40506933608.00
13-11-2017,1.59,1.72,1.53,1.69,287970710.00,43599563739.00
14-11-2017,1.69,1.75,1.66,1.72,198468165.00,44496957390.00
15-11-2017,1.71,1.81,1.65,1.73,448565520.00,44840268024.00
16-11-2017,1.73,1.84,1.68,1.80,318999364.00,46665377191.00
17-11-2017,1.77,1.78,1.64,1.68,233664422.00,43627132227.00
18-11-2017,1.66,1.76,1.61,1.71,190515055.00,44445615257.00
19-11-2017,1.71,1.85,1.66,1.83,307175500.00,47336954302.00
20-11-2017,1.83,2.10,1.80,1.93,1051367724.00,49859838925.00
21-11-2017,1.93,1.93,1.78,1.84,379945845.00,47814026725.00
22-11-2017,1.84,1.88,1.81,1.85,320359198.00,48016587317.00
23-11-2017,1.85,1.86,1.77,1.77,332932301.00,46157595333.00
24-11-2017,1.77,1.85,1.74,1.84,355204204.00,47503244155.00
25-11-2017,1.83,1.97,1.79,1.97,398138268.00,51051099094.00
26-11-2017,1.97,2.58,1.95,2.35,1974187557.00,60917997073.00
27-11-2017,2.37,3.70,2.37,3.26,5029857732.00,84829467850.00
28-11-2017,3.26,8.48,3.09,7.71,15495191705.00,200162041369.00
29-11-2017,7.61,9.45,5.24,5.77,13564249485.00,149802110554.00
30-11-2017,6.11,8.26,6.11,7.73,8001600750.00,200013635077.00
01-12-2017,7.52,8.47,7.29,8.47,4749442048.00,219591319269.00
02-12-2017,8.49,8.96,8.33,8.54,3658529826.00,221364369211.00
03-12-2017,8.54,8.98,8.06,8.50,2997063639.00,220454499117.00
04-12-2017,8.49,9.39,8.15,8.75,4928093335.00,227250091384.00
05-12-2017,8.73,8.78,8.16,8.20,3243031407.00,212767978037.00
06-12-2017,8.16,8.57,7.33,7.60,4870574280.00,196603411191.00
07-12-2017,7.60,8.01,6.81,6.81,4582507192.00,176483612177.00
08-12-2017,6.85,7.78,6.39,7.44,4525165344.00,193271283531.00
09-12-2017,7.40,8.94,7.32,7.71,4081505442.00,199928624879.00
10-12-2017,7.72,7.72,6.46,7.11,2989899402.00,184336702759.00
11-12-2017,7.02,7.81,7.00,7.81,2547461133.00,202893898232.00
12-12-2017,7.80,8.89,7.37,8.62,3864655080.00,223384680180.00
13-12-2017,8.61,9.14,7.89,8.65,3965430000.00,224209434553.00
14-12-2017,8.61,15.49,8.48,15.49,19934836666.00,402298189853.00
15-12-2017,15.00,15.00,12.03,13.68,13336317145.00,356039143267.00
16-12-2017,13.64,28.65,13.09,25.93,37228003690.00,672208216417.00
17-12-2017,24.78,37.96,24.22,32.87,40245120472.00,852186893632.00
18-12-2017,32.80,33.73,30.02,33.27,16239374923.00,860803265246.00
19-12-2017,33.40,37.83,32.09,34.03,17952310714.00,884313433449.00
20-12-2017,34.18,34.18,28.29,31.17,11716282200.00,807316384788.00
21-12-2017,31.42,33.55,29.23,30.59,10445185860.00,794276521780.00
22-12-2017,30.66,30.66,18.80,26.06,9663781218.00,675702795314.00
23-12-2017,26.53,28.83,25.13,26.50,5688248650.00,687115808021.00
24-12-2017,26.67,26.67,22.21,24.97,4312501179.00,647288924366.00
25-12-2017,25.11,28.15,23.22,26.65,7821637940.00,690992614433.00
26-12-2017,26.47,27.55,25.96,27.44,6074292960.00,711076994219.00
27-12-2017,27.35,27.62,25.71,26.55,5255602956.00,687685238309.00
28-12-2017,26.41,26.85,23.58,26.12,5273932218.00,677674279650.00
29-12-2017,26.30,35.55,25.88,33.79,17068440723.00,879243662635.00
30-12-2017,33.72,49.62,30.10,40.80,41180305437.00,1057899165803.00
31-12-2017,41.02,48.16,41.00,45.94,19528597521.00,1191041184857.00
01-01-2018,45.88,46.49,42.79,46.40,9586372380.00,1205872621925.00
02-01-2018,46.14,50.42,44.43,49.66,18447411600.00,1291977743255.00
03-01-2018,49.47,68.94,49.40,68.56,41711904115.00,1776119110992.00
04-01-2018,69.47,84.28,65.78,70.63,37682806016.00,1834252607061.00
05-01-2018,74.25,79.40,57.22,63.30,32210999500.00,1642921788592.00
