Date,Open,High,Low,Close,Volume,Market Cap
07-08-2015,180.46,225.37,160.69,176.66,10472802,10618207299
08-08-2015,178.04,178.37,45.55,48.01,42965462,2898843380
09-08-2015,45,56.07,40.1,44.74,33914768,2702090899
10-08-2015,45.51,46.53,40.58,45.22,25834765,2729456638
11-08-2015,45.2,72.81,42.53,68.69,93398013,4121825726
12-08-2015,68.1,83.65,57.14,78.89,138335191,4737097500
13-08-2015,79.2,128.1,76.07,119.29,263637037,7166981017
14-08-2015,118.19,146.95,114.27,119.03,302642718,7223195091
15-08-2015,117.4,122.24,102.3,109.98,166336092,6661857528
16-08-2015,109.68,110.39,70.97,101.93,231222119,6179811117
17-08-2015,102.92,102.91,77.59,78.76,126458805,5682055406
18-08-2015,79.53,87.12,71.14,71.14,97223345,5161172612
19-08-2015,76.37,86.25,76.37,81.89,97265045,5979354711
20-08-2015,81.39,100.3,81.61,95.89,184990854,6918319410
21-08-2015,96.72,102.69,89.32,92.12,132289261,6633011003
22-08-2015,92.19,97.48,89.31,91.06,62611030,6615705297
23-08-2015,90.78,93.07,85.68,89.3,104931625,6490162737
24-08-2015,88.84,89.98,82.25,82.25,61066733,5910137396
25-08-2015,82.08,82.12,74.57,75.57,87325376,5539596738
26-08-2015,75.08,79.54,70.45,76.62,70041918,5593472608
27-08-2015,77.27,78.42,75.04,75.81,45356909,5517149668
28-08-2015,75.81,79.93,73.94,78.8,47681089,5728761074
29-08-2015,78.94,79.84,76.03,78.21,24827435,5695572995
30-08-2015,78.24,90.48,77.42,87.24,88472171,6355878670
31-08-2015,87.38,92.65,79.51,90.12,95694778,6543992840
01-09-2015,89.8,92.42,88.54,89.77,51675624,6535736210
02-09-2015,89.77,90.01,83.76,85.73,58699583,6269315773
03-09-2015,85.75,86.79,80.02,83.69,46545245,6106850244
04-09-2015,83.69,86.21,81.82,84.97,31384712,6149621654
05-09-2015,85.38,89.5,84.76,89.27,29900693,6513092405
06-09-2015,89.21,91.59,86.4,86.5,32802065,6306151337
07-09-2015,86.51,87.1,82.81,83.28,32644130,6076089135
08-09-2015,83.28,85.43,81.72,82.5,28583228,6061657673
09-09-2015,82.3,83.78,79.8,80.35,24353131,5853423916
10-09-2015,80.42,81.35,75.36,77.31,44136973,5673948111
11-09-2015,77.26,77.52,62.41,65.1,128825462,4766015834
12-09-2015,65.39,73.84,64.23,68.8,51158811,5031653392
13-09-2015,69,69.06,59.8,62,42661904,4535537739
14-09-2015,62.31,63.1,57.75,58.06,49091545,4245112513
15-09-2015,58.04,69.42,58.04,62.73,46643198,4584905097
16-09-2015,62.57,63.33,59.7,60.05,40891442,4413208815
17-09-2015,60.03,60.2,55,57.8,59437342,4239411172
18-09-2015,57.83,58.53,54.83,56.22,32042770,4136535403
19-09-2015,55.95,60.05,54.91,58.11,25486333,4260234715
20-09-2015,58.03,62.4,57.51,61.79,33476645,4532505096
21-09-2015,61.99,63.06,57.74,60.42,27917752,4438969657
22-09-2015,60.44,60.44,56.79,59.4,32074491,4350550905
23-09-2015,59.52,59.97,58.4,59.11,13210197,4320432203
24-09-2015,59.33,60.06,52.44,53.88,55739288,3952992808
25-09-2015,54.3,54.68,47.16,48.71,59825206,3581444432
26-09-2015,48.8,52.1,46.93,52,24453985,3821331522
27-09-2015,52.35,52.35,47.57,47.7,27376991,3505834016
28-09-2015,47.89,47.99,36.91,38.62,87403291,2836245113
29-09-2015,38.39,44.53,36.99,43.58,60558642,3222308417
30-09-2015,43.58,48.92,41.71,48.4,40863476,3582669427
01-10-2015,48.11,48.11,43,45.29,39057987,3329022275
02-10-2015,44.86,45.38,42.82,44.35,14390748,3278596976
03-10-2015,44.36,46.35,44.15,44.91,10674073,3308041805
04-10-2015,44.86,45.3,43.18,43.68,6763984,3218644239
05-10-2015,43.58,44.08,40.66,40.94,15310118,3028319799
06-10-2015,40.52,42.6,39.51,42.41,17105331,3124086263
07-10-2015,42.4,42.84,39.1,39.57,14231231,2929819136
08-10-2015,39.58,41.06,38.53,40.41,20147433,2978798521
09-10-2015,42.58,44.87,41.02,42.14,25114595,3121096216
10-10-2015,41.53,42.04,40.44,40.67,9168489,3002514874
11-10-2015,40.64,41.42,40.05,41.13,6614810,3037525706
12-10-2015,41.1,42.6,40.55,40.55,7096600,2995836994
13-10-2015,40.68,40.86,39.01,39.55,19631130,2909372081
14-10-2015,39.85,39.85,31.35,33.91,63238128,2516433763
15-10-2015,33.93,37.09,33.33,36.4,24059404,2694754476
16-10-2015,36.45,36.91,33.8,34.71,16188364,2571304163
17-10-2015,34.55,36.45,34.09,35.4,20304576,2619813797
18-10-2015,35.45,35.73,33.18,33.48,8648821,2479667229
19-10-2015,33.48,33.78,31.16,31.76,15763161,2342118728
20-10-2015,31.8,32.61,28.05,28.26,24934901,2092210593
21-10-2015,28.05,31.45,27.42,29.15,39585470,2154528506
22-10-2015,28.99,40.17,27.4,36.93,60257887,2742111155
23-10-2015,36.84,39.69,32.71,35.01,57165350,2603231602
24-10-2015,35.02,37.46,33.65,36.57,16762783,2712722000
25-10-2015,36.54,44.65,36.42,39.98,41225302,2966193476
26-10-2015,40.22,49.16,38.75,47.46,70684977,3523418441
27-10-2015,46.01,58.35,46.01,56.58,119827013,4191175108
28-10-2015,56.67,68.57,52.42,65.1,154400363,4845314670
29-10-2015,65.28,78.97,61.72,78.97,148022051,5823406037
30-10-2015,79.13,87.67,63.3,68.11,158974136,5065407124
31-10-2015,68.46,69.1,58.88,59.96,44081163,4458756745
01-11-2015,60.24,70.43,58.81,69,38522448,5136884358
02-11-2015,69.15,71.99,62.52,64.87,74856571,4814451938
03-11-2015,65.18,70.12,61.37,66.4,125026187,4943800935
04-11-2015,66.23,68.09,47.44,58.96,200540102,4387010789
05-11-2015,59.07,65.08,56.66,58.98,77376503,4375424384
06-11-2015,59.58,65.46,56.08,61.24,60164906,4543952550
07-11-2015,61.09,62.41,57.11,61.37,58868066,4574355649
08-11-2015,60.55,68.29,60.55,67.95,67549150,5066516078
09-11-2015,68.28,73.39,62.76,66.42,135255028,4929159955
10-11-2015,66.55,69.97,60.96,61.84,56799726,4633793668
11-11-2015,62.3,62.57,48.21,52.3,84629210,3912056910
12-11-2015,52.61,60.34,50.43,59.15,53250635,4417768454
13-11-2015,59.95,60.58,55.96,59.71,35904033,4459638516
14-11-2015,59.81,59.85,57.92,58.7,24604065,4386328358
15-11-2015,58.86,60.86,57.79,59.86,27202025,4474522111
16-11-2015,59.85,62.52,58.83,61.21,41012486,4587597426
17-11-2015,60.95,68.22,59.75,66.56,75478311,4967936355
18-11-2015,65.59,66.96,62.17,65.63,44976022,4907697645
19-11-2015,65.33,66.6,62.07,63.14,29304782,4725293850
20-11-2015,63.16,63.16,59.37,61.09,40596854,4576087740
21-11-2015,61.34,64.64,60.83,64.47,30116257,4828587382
22-11-2015,64.71,65,63.34,64.01,24581245,4790025359
23-11-2015,63.97,64.08,61.95,62.85,29217659,4692718435
24-11-2015,62.81,62.94,59.4,59.68,34789983,4479027820
25-11-2015,59.26,59.66,56.47,57.32,41302933,4293492422
26-11-2015,57.3,60.15,53.54,58.85,62892405,4402984904
27-11-2015,58.71,60.05,57.46,58.06,26877793,4335427861
28-11-2015,58.07,62.17,57.67,61.26,30937685,4598676125
29-11-2015,61.15,61.15,57.48,58.69,29994029,4413899829
30-11-2015,58.78,59.88,56.57,58.07,52401310,4381447888
01-12-2015,58.41,59.01,56.8,58.14,43418646,4371949574
02-12-2015,58.03,58.48,54.5,54.65,33648151,4102503840
03-12-2015,54.48,55.96,52.35,54.25,35937097,4064473242
04-12-2015,54.25,57.28,53.66,55.97,16117539,4221081610
05-12-2015,56.05,58.16,54.94,57.47,15508364,4324181682
06-12-2015,57.73,58.8,55.55,55.71,29558932,4190486097
07-12-2015,55.76,56.74,52.54,54.16,34699519,4072985697
