Date,Open,High,Low,Close,Volume,Market Cap
28-04-2013,327.18,239.27,227.54,236.44,0.00,5679311110.00
29-04-2013,237.44,247.96,228.95,237.74,0.00,4099274909.00
30-04-2013,238.80,246.59,223.79,231.15,0.00,4014154378.00
01-05-2013,230.78,233.96,188.86,203.92,0.00,3529527285.00
02-05-2013,202.80,216.85,161.70,181.41,0.00,3127150065.00
03-05-2013,182.41,185.85,129.27,163.82,0.00,2834982772.00
04-05-2013,163.14,195.74,155.76,187.20,0.00,3243648683.00
05-05-2013,187.93,198.65,180.02,193.19,0.00,3351642376.00
06-05-2013,193.37,203.87,168.64,182.60,0.00,3152376634.00
07-05-2013,182.58,184.38,159.12,180.38,0.00,3144346771.00
08-05-2013,177.73,188.73,177.73,184.61,0.00,3220882192.00
09-05-2013,184.08,187.06,177.98,185.29,0.00,3235764066.00
10-05-2013,184.77,196.98,182.70,188.70,0.00,3273868182.00
11-05-2013,189.63,190.69,180.87,183.52,0.00,3222761288.00
12-05-2013,184.28,187.54,176.23,179.17,0.00,3151729935.00
13-05-2013,178.70,184.63,175.37,179.80,0.00,3166940180.00
14-05-2013,179.86,182.42,152.16,154.74,0.00,2732643655.00
15-05-2013,154.73,166.38,144.60,160.80,0.00,2843143625.00
16-05-2013,160.49,162.57,147.08,159.89,0.00,2831352525.00
17-05-2013,158.38,183.04,157.25,174.85,0.00,3094681988.00
18-05-2013,175.54,184.60,171.82,180.83,0.00,3211511399.00
19-05-2013,181.22,187.27,174.95,181.30,0.00,3224785922.00
20-05-2013,181.92,182.38,173.57,175.31,0.00,3110749262.00
21-05-2013,175.95,177.18,168.53,171.03,0.00,3034524182.00
22-05-2013,171.32,173.44,168.03,173.67,0.00,3089932474.00
23-05-2013,173.55,177.49,172.37,177.21,0.00,3169224114.00
24-05-2013,176.58,177.78,169.47,177.45,0.00,3175873000.00
25-05-2013,177.91,178.34,170.49,174.05,0.00,3126830187.00
26-05-2013,174.36,185.70,172.30,181.32,0.00,3262538638.00
27-05-2013,180.31,181.16,167.76,172.31,0.00,3118781770.00
28-05-2013,172.41,173.93,169.10,173.47,0.00,3101429547.00
29-05-2013,173.47,174.90,169.64,174.26,0.00,3140019036.00
30-05-2013,173.23,173.57,162.61,167.53,0.00,3029112809.00
31-05-2013,167.53,169.04,152.32,167.26,0.00,3023987148.00
01-06-2013,166.44,168.27,158.55,159.90,0.00,2905126808.00
02-06-2013,159.97,162.00,144.75,154.27,0.00,2807332785.00
03-06-2013,154.47,155.58,148.22,154.43,0.00,2810067207.00
04-06-2013,153.17,163.42,153.17,161.78,0.00,2964702059.00
05-06-2013,161.83,168.64,159.80,162.36,0.00,2953337927.00
06-06-2013,163.17,165.46,155.99,156.52,0.00,2860538786.00
07-06-2013,157.94,158.54,143.31,148.47,0.00,2713067086.00
08-06-2013,148.56,151.61,144.69,146.18,0.00,2686419891.00
09-06-2013,145.63,147.64,118.25,135.95,0.00,2502115472.00
10-06-2013,136.03,148.90,129.73,144.65,0.00,2615936282.00
11-06-2013,144.96,146.96,126.83,139.87,0.00,2574318955.00
12-06-2013,140.70,141.90,134.49,137.88,0.00,2572428025.00
13-06-2013,138.68,145.45,129.18,131.66,0.00,2431683578.00
14-06-2013,131.59,132.19,120.15,122.72,0.00,2296996224.00
15-06-2013,122.97,126.96,117.78,121.06,0.00,2249275142.00
16-06-2013,119.91,123.62,115.96,122.43,0.00,2277586684.00
17-06-2013,122.96,132.99,120.29,132.36,0.00,2439912366.00
18-06-2013,132.56,139.65,127.86,135.91,0.00,2504676189.00
19-06-2013,135.59,137.38,132.19,135.04,0.00,2530211364.00
20-06-2013,134.91,142.99,135.87,136.22,0.00,2514501373.00
21-06-2013,138.56,169.91,134.29,169.91,0.00,3203746745.00
22-06-2013,169.72,212.44,157.92,173.31,0.00,3256184074.00
23-06-2013,171.74,197.80,171.61,184.75,0.00,3477009649.00
24-06-2013,185.78,186.59,161.76,171.90,0.00,3211731305.00
25-06-2013,170.33,173.44,165.31,168.44,0.00,3187323631.00
26-06-2013,167.43,178.32,167.26,173.64,0.00,3226764820.00
27-06-2013,174.91,182.49,171.54,181.76,0.00,3472967082.00
28-06-2013,182.79,182.79,158.78,163.55,0.00,3137591501.00
29-06-2013,164.36,174.27,160.88,166.35,0.00,3161043841.00
30-06-2013,165.96,178.67,164.61,177.41,0.00,3376232443.00
01-07-2013,179.11,195.82,170.74,175.08,0.00,3345726053.00
02-07-2013,175.14,180.08,167.09,168.78,0.00,3213647883.00
03-07-2013,169.50,182.09,157.12,157.46,0.00,2977576590.00
04-07-2013,161.07,167.04,149.71,164.04,0.00,3143713827.00
05-07-2013,162.90,163.52,140.69,146.40,0.00,2806458001.00
06-07-2013,145.90,157.84,142.43,151.54,0.00,2910478979.00
07-07-2013,148.00,160.10,143.57,159.97,0.00,3076980718.00
08-07-2013,163.25,165.20,151.40,158.33,0.00,3027253489.00
09-07-2013,156.84,159.19,148.99,157.02,0.00,3059973958.00
10-07-2013,156.80,168.50,155.34,168.32,0.00,3265051757.00
11-07-2013,169.89,171.70,158.18,163.09,0.00,3160203147.00
12-07-2013,162.87,175.03,161.46,167.02,0.00,3234176512.00
13-07-2013,168.11,174.15,159.88,173.65,0.00,3370731370.00
14-07-2013,175.36,177.85,166.42,174.13,0.00,3384929471.00
15-07-2013,172.08,183.06,171.25,178.35,0.00,3477410436.00
16-07-2013,179.36,188.34,175.62,183.57,0.00,3614091638.00
17-07-2013,182.23,187.76,181.35,186.57,0.00,3639103337.00
18-07-2013,186.57,186.57,163.88,172.43,0.00,3350060065.00
19-07-2013,172.10,180.76,167.35,175.76,0.00,3466195663.00
20-07-2013,175.76,178.36,169.66,169.66,0.00,3323103844.00
21-07-2013,170.53,174.80,166.71,173.01,0.00,3388692260.00
22-07-2013,174.77,175.24,170.78,172.43,0.00,3369875292.00
23-07-2013,172.41,179.58,171.30,178.54,0.00,3515303816.00
24-07-2013,178.54,178.56,170.88,174.00,0.00,3469648342.00
25-07-2013,174.32,178.38,173.16,175.37,0.00,3475106337.00
26-07-2013,175.86,175.99,167.03,171.35,0.00,3386240124.00
27-07-2013,171.01,173.27,167.46,170.01,0.00,3368990145.00
28-07-2013,170.30,178.64,167.69,175.79,0.00,3488366274.00
29-07-2013,173.75,180.34,174.81,176.03,0.00,3475979763.00
30-07-2013,176.59,178.64,175.34,181.54,0.00,3529851425.00
31-07-2013,182.46,184.66,173.25,174.53,0.00,3475108120.00
01-08-2013,174.86,181.63,172.58,175.85,0.00,3531988250.00
02-08-2013,177.80,180.82,172.12,173.71,0.00,3432859900.00
03-08-2013,173.64,190.32,171.78,181.08,0.00,3622795862.00
04-08-2013,183.94,186.04,179.43,183.83,0.00,3683009711.00
05-08-2013,183.21,184.78,171.73,172.31,0.00,3470274667.00
06-08-2013,173.13,178.23,169.31,171.64,0.00,3454557676.00
07-08-2013,171.50,171.50,165.60,168.65,0.00,3371221289.00
08-08-2013,168.52,171.39,161.86,164.24,0.00,3336578081.00
09-08-2013,164.60,167.79,161.14,162.55,0.00,3283574864.00
10-08-2013,162.93,164.23,155.24,155.43,0.00,3141416763.00
11-08-2013,154.81,164.94,153.32,163.48,0.00,3308946809.00
12-08-2013,163.48,166.12,157.55,161.94,0.00,3259426446.00
13-08-2013,162.28,169.54,160.00,167.58,0.00,3398412428.00
14-08-2013,168.84,173.33,165.19,167.54,0.00,3392733522.00
15-08-2013,168.03,173.79,164.84,169.61,0.00,3454860123.00
16-08-2013,169.61,172.13,166.54,167.52,0.00,3402342562.00
17-08-2013,167.52,175.02,165.72,173.81,0.00,3548748549.00
18-08-2013,172.66,176.01,170.69,172.48,0.00,3526259051.00
19-08-2013,172.65,181.04,173.00,178.20,0.00,3562941307.00
20-08-2013,178.27,181.69,174.30,175.58,0.00,3600889336.00
21-08-2013,175.13,179.38,166.34,172.80,0.00,3494132185.00
22-08-2013,172.72,178.78,166.00,177.02,0.00,3630140012.00
23-08-2013,178.88,186.13,169.06,171.93,0.00,3604596481.00
24-08-2013,173.06,175.48,168.51,169.92,0.00,3505704983.00
25-08-2013,169.29,171.24,159.06,163.89,0.00,3385581628.00
26-08-2013,162.81,170.66,164.11,164.94,0.00,3353279228.00
27-08-2013,165.12,173.01,162.89,170.59,0.00,3425960913.00
28-08-2013,170.73,179.16,172.52,173.53,0.00,3467933886.00
29-08-2013,174.55,174.45,173.57,169.42,0.00,3637430972.00
30-08-2013,168.71,179.31,167.21,175.27,0.00,3688567740.00
31-08-2013,174.74,176.67,167.80,169.96,0.00,3541535001.00
01-09-2013,170.41,181.47,167.06,169.99,0.00,3547553047.00
02-09-2013,169.16,180.81,167.47,168.83,0.00,3515434418.00
03-09-2013,168.53,177.47,169.94,176.12,0.00,3594979529.00
04-09-2013,175.81,213.90,175.68,188.70,0.00,3984485638.00
05-09-2013,188.90,194.51,181.65,181.85,0.00,3873984394.00
06-09-2013,183.52,187.67,172.98,175.52,0.00,3730402063.00
07-09-2013,174.91,180.25,174.07,176.49,0.00,3713223454.00
08-09-2013,176.46,180.75,173.96,177.95,0.00,3749365851.00
09-09-2013,178.24,179.77,172.63,177.96,0.00,3753776752.00
10-09-2013,178.18,178.18,170.81,168.80,0.00,3642629467.00
11-09-2013,168.77,177.61,167.06,171.89,0.00,3667245128.00
12-09-2013,173.90,173.97,169.45,170.96,0.00,3610246515.00
13-09-2013,170.57,174.85,164.98,169.35,0.00,3592543205.00
