Date,Open,High,Low,Close,Volume,Market Cap
20-08-2020,209.01,230.89,202.02,217.47,3660113331.00,0.00
21-08-2020,217.24,231.42,204.66,215.42,3697950214.00,0.00
22-08-2020,215.69,337.98,211.06,336.03,36400736051.00,0.00
23-08-2020,336.21,336.21,278.46,297.22,24033534255.00,0.00
24-08-2020,298.75,354.86,285.65,341.49,30544983775.00,0.00
25-08-2020,340.17,427.68,333.89,410.05,66688869556.00,0.00
26-08-2020,411.39,486.65,381.99,451.63,78273387655.00,0.00
27-08-2020,451.19,501.75,392.59,415.23,95740980981.00,0.00
28-08-2020,416.05,463.59,407.00,450.47,53645848516.00,0.00
29-08-2020,451.64,479.94,441.86,450.41,38559928834.00,0.00
30-08-2020,449.99,454.82,420.49,429.26,35491830505.00,0.00
31-08-2020,431.89,474.38,424.23,462.66,37486044391.00,0.00
01-09-2020,462.57,497.74,453.31,459.50,44174849527.00,0.00
02-09-2020,459.05,469.91,413.90,449.73,42682075706.00,382487798201.00
03-09-2020,449.13,463.66,416.24,422.19,55940447516.00,359004855333.00
04-09-2020,420.63,438.98,339.14,376.93,62124297516.00,322286923760.00
05-09-2020,376.19,389.07,267.60,301.94,59021816151.00,257451630924.00
06-09-2020,303.02,359.09,275.39,351.76,67691243488.00,299742151924.00
07-09-2020,351.50,353.26,295.55,337.46,49498616571.00,287125514997.00
08-09-2020,337.04,339.06,303.82,315.39,38150421818.00,267670694828.00
09-09-2020,316.02,351.91,306.75,345.29,39409446833.00,296259858946.00
10-09-2020,345.36,357.13,328.89,336.90,46458698563.00,286452413878.00
11-09-2020,336.78,348.68,317.31,341.34,46582088743.00,291272685373.00
12-09-2020,341.71,387.97,331.82,377.45,55382598611.00,321833150246.00
13-09-2020,378.04,402.56,353.19,389.29,80785627309.00,331914340483.00
14-09-2020,389.17,411.31,376.69,392.59,74085760115.00,335105032261.00
15-09-2020,393.91,401.25,375.10,375.10,65902931529.00,318909877746.00
16-09-2020,373.13,388.26,367.04,373.66,58325937625.00,318859805075.00
17-09-2020,373.66,398.79,372.27,392.66,57101500821.00,334656849089.00
18-09-2020,393.06,400.89,376.07,386.14,50286933144.00,329124089496.00
19-09-2020,386.69,386.87,355.17,362.56,44553871219.00,309136137034.00
20-09-2020,362.82,366.17,325.72,343.59,58778285612.00,293259372888.00
21-09-2020,343.59,345.43,290.70,301.28,80648591486.00,256729196393.00
22-09-2020,300.60,309.38,288.20,306.84,49528008481.00,261896884842.00
23-09-2020,306.40,317.39,293.20,297.45,40945924882.00,252658379454.00
24-09-2020,296.70,324.21,294.51,323.95,32285000210.00,275669783358.00
25-09-2020,323.53,333.77,313.61,325.82,31433316469.00,278670943692.00
26-09-2020,325.92,329.00,312.67,320.42,24302054607.00,273205797308.00
27-09-2020,319.88,321.49,306.63,317.67,23315715870.00,270856821486.00
28-09-2020,317.09,338.38,314.39,324.41,40056253332.00,276360456954.00
29-09-2020,326.17,339.53,321.60,331.80,37543897224.00,283058638759.00
30-09-2020,331.98,331.98,313.65,319.86,27901544710.00,273439085178.00
01-10-2020,319.95,337.05,311.87,318.20,32733707996.00,272356380679.00
02-10-2020,318.25,319.56,288.59,302.32,40650032673.00,257534409746.00
03-10-2020,302.63,302.93,296.09,298.43,26540197550.00,254452576075.00
04-10-2020,298.25,307.62,294.87,306.04,20996437463.00,260946030620.00
05-10-2020,306.58,310.41,302.17,305.09,24362525985.00,260870473158.00
06-10-2020,304.84,305.77,268.19,276.52,48422618413.00,234167506750.00
07-10-2020,276.32,284.45,266.60,283.00,46310645112.00,242218883742.00
08-10-2020,282.91,304.83,268.36,300.65,45046140176.00,256545685999.00
09-10-2020,301.32,317.62,294.16,310.99,36018585337.00,266334871214.00
10-10-2020,310.84,326.56,309.34,310.30,35899694543.00,264577197637.00
11-10-2020,310.72,316.24,304.88,311.20,28316165472.00,265149959374.00
12-10-2020,310.73,325.54,308.47,316.87,35748793419.00,268943192289.00
13-10-2020,316.59,318.68,305.33,311.98,30855848804.00,265768552471.00
14-10-2020,312.43,319.19,300.13,307.78,38192228345.00,262865224790.00
15-10-2020,307.28,307.28,296.24,300.59,33028664933.00,256031335841.00
16-10-2020,300.82,305.00,281.93,287.13,32525256893.00,244580322024.00
17-10-2020,287.69,292.12,284.35,291.37,15162893605.00,248438427595.00
18-10-2020,291.45,302.72,290.84,301.46,14990634109.00,257042650999.00
19-10-2020,301.93,301.95,290.93,292.90,18359818448.00,249898495954.00
20-10-2020,292.83,304.04,284.73,287.34,36896433173.00,244717262642.00
21-10-2020,287.02,312.95,287.05,305.31,33655674352.00,259455438585.00
22-10-2020,305.29,319.17,304.62,314.74,27080166485.00,268355284917.00
23-10-2020,315.10,329.50,310.26,315.04,34048452792.00,268228371823.00
24-10-2020,315.04,327.15,313.40,321.57,22911220485.00,274188582748.00
25-10-2020,321.57,328.36,315.12,320.10,25037643087.00,272922355945.00
26-10-2020,320.10,350.66,317.80,349.56,53382826069.00,297594915270.00
27-10-2020,349.56,364.44,344.01,345.70,60667704668.00,295333668574.00
28-10-2020,345.70,351.93,316.38,323.85,47971320763.00,274694964518.00
29-10-2020,323.85,326.10,287.96,301.09,50939685728.00,256411396715.00
30-10-2020,301.09,308.77,293.75,305.03,43572438929.00,258928015621.00
31-10-2020,305.04,318.92,303.88,312.02,23777863171.00,266041263353.00
01-11-2020,312.01,315.38,307.95,315.38,22597636584.00,268830807604.00
