Date,Open,High,Low,Close,Volume,Market Cap
10-04-2020,63.16,99.69,52.77,72.45,6631909564.00,0.00
11-04-2020,72.45,79.91,58.28,59.18,3341287450.00,0.00
12-04-2020,59.83,72.88,58.08,67.23,2950841236.00,0.00
13-04-2020,67.85,67.92,59.01,59.32,1387271896.00,0.00
14-04-2020,59.32,60.75,47.71,50.28,1277152118.00,0.00
15-04-2020,50.84,53.59,47.61,49.47,993276362.00,0.00
16-04-2020,48.26,59.42,47.82,53.10,1632984206.00,0.00
17-04-2020,52.98,55.11,50.55,50.55,758664534.00,0.00
18-04-2020,50.55,54.93,50.45,52.10,748331560.00,0.00
19-04-2020,52.14,52.38,45.78,46.48,710669074.00,0.00
20-04-2020,46.93,48.89,39.90,41.27,638794148.00,0.00
21-04-2020,41.47,46.53,39.15,45.23,743832519.00,0.00
22-04-2020,44.73,54.00,43.80,52.85,1449220028.00,0.00
23-04-2020,52.37,53.34,45.69,47.68,1030409561.00,0.00
24-04-2020,47.42,51.32,46.66,48.40,688827701.00,0.00
25-04-2020,48.12,51.19,47.44,49.09,558029945.00,0.00
26-04-2020,49.84,52.75,48.15,48.48,634890657.00,0.00
27-04-2020,48.49,50.43,42.73,43.61,565012044.00,0.00
28-04-2020,44.06,52.63,43.33,50.31,569130727.00,0.00
29-04-2020,50.38,58.54,49.80,56.14,669518023.00,0.00
30-04-2020,56.24,60.41,52.10,52.11,377614410.00,0.00
01-05-2020,52.11,55.86,51.72,55.29,314030639.00,0.00
02-05-2020,55.17,56.82,53.68,54.29,261057805.00,0.00
03-05-2020,54.20,55.17,49.64,51.33,252391624.00,0.00
04-05-2020,51.33,53.42,46.78,50.49,260113681.00,0.00
05-05-2020,50.94,51.87,47.45,48.74,215382570.00,0.00
06-05-2020,48.79,51.18,47.46,47.46,203341629.00,0.00
07-05-2020,47.46,48.06,43.38,46.41,255798328.00,0.00
08-05-2020,46.41,48.05,44.66,45.66,188386436.00,0.00
09-05-2020,45.59,47.22,44.43,45.64,160650874.00,0.00
10-05-2020,45.64,46.25,38.76,40.56,175741660.00,0.00
11-05-2020,40.51,43.21,38.38,39.13,158505906.00,0.00
12-05-2020,38.99,42.13,38.34,40.59,166958297.00,0.00
13-05-2020,40.58,42.63,39.07,41.53,175341873.00,0.00
14-05-2020,41.53,43.86,41.50,42.97,154485554.00,0.00
15-05-2020,42.97,43.38,41.51,42.47,139671045.00,0.00
16-05-2020,42.41,46.02,42.06,45.46,174548145.00,0.00
17-05-2020,45.16,48.58,44.70,46.48,222807381.00,0.00
18-05-2020,46.46,51.20,46.23,49.35,251327837.00,0.00
19-05-2020,49.22,49.49,46.27,47.28,179971682.00,0.00
20-05-2020,47.13,47.44,43.45,43.75,174354558.00,0.00
21-05-2020,43.79,46.41,41.08,46.06,216272289.00,0.00
22-05-2020,45.78,51.36,44.14,48.55,258029507.00,0.00
23-05-2020,48.44,48.55,44.70,46.59,200514868.00,0.00
24-05-2020,46.61,46.61,41.68,41.73,211784359.00,0.00
25-05-2020,41.69,49.33,40.89,45.60,342705567.00,0.00
26-05-2020,45.46,46.40,42.80,43.28,204103916.00,0.00
27-05-2020,43.28,46.37,43.14,44.85,191511756.00,0.00
28-05-2020,44.85,44.96,42.98,43.54,202094149.00,0.00
29-05-2020,43.50,44.82,42.91,43.76,156461078.00,0.00
30-05-2020,43.91,45.50,42.83,44.40,184963479.00,0.00
31-05-2020,44.40,44.86,42.99,43.05,142962932.00,0.00
01-06-2020,43.31,44.29,42.85,43.61,163120833.00,0.00
02-06-2020,43.58,44.56,41.50,42.39,97847311.00,735578828.00
03-06-2020,42.39,44.45,42.36,44.19,65866419.00,759641998.00
04-06-2020,44.21,44.66,42.66,44.32,67918787.00,763171652.00
05-06-2020,44.32,52.83,43.59,49.96,326136392.00,860623296.00
06-06-2020,49.95,49.99,46.23,47.03,121209626.00,811372398.00
07-06-2020,47.03,47.19,44.84,46.56,54163536.00,803724412.00
08-06-2020,46.45,51.23,46.32,50.39,108763506.00,870623496.00
09-06-2020,50.35,50.37,47.38,49.69,74524186.00,855899184.00
10-06-2020,49.69,50.54,47.91,48.80,82774471.00,839986274.00
11-06-2020,48.80,49.27,43.49,43.59,84929297.00,749015301.00
12-06-2020,43.61,45.92,43.55,45.11,71441105.00,778315185.00
13-06-2020,45.11,46.44,44.47,46.25,58088614.00,797878572.00
14-06-2020,46.40,46.96,44.12,44.59,66342040.00,769225482.00
15-06-2020,44.69,44.96,41.63,43.36,71602143.00,747685120.00
16-06-2020,43.35,44.85,43.16,44.74,49539347.00,767467050.00
17-06-2020,44.73,45.02,43.12,44.42,51440742.00,766471712.00
18-06-2020,44.42,49.69,44.17,47.44,103067200.00,818167584.00
