Date,Open,High,Low,Close,Volume,Market Cap
26-07-2019,117.83,126.77,87.09,91.41,835811339.00,0.00
27-07-2019,91.41,96.60,84.14,90.25,415463085.00,0.00
28-07-2019,90.25,94.24,85.19,87.68,113185773.00,0.00
29-07-2019,86.95,94.59,80.95,89.01,273233348.00,0.00
30-07-2019,88.99,94.49,87.08,89.09,125170713.00,0.00
31-07-2019,88.49,91.46,87.42,89.72,79521108.00,0.00
01-08-2019,89.47,93.92,88.39,88.57,61006271.00,0.00
02-08-2019,88.42,93.71,84.70,88.30,93986508.00,0.00
03-08-2019,88.25,89.19,86.56,87.82,31616678.00,0.00
04-08-2019,87.83,87.98,83.16,86.82,31994137.00,0.00
05-08-2019,86.80,89.44,82.16,84.66,93991039.00,0.00
06-08-2019,84.60,90.59,74.76,81.62,239741635.00,0.00
07-08-2019,81.60,82.15,76.46,79.27,105388385.00,0.00
08-08-2019,79.27,87.18,78.48,84.65,164790677.00,0.00
09-08-2019,84.83,90.60,84.38,86.56,173688029.00,0.00
10-08-2019,86.56,86.61,77.53,80.64,26153443.00,0.00
11-08-2019,80.70,91.90,77.22,90.52,80473930.00,0.00
12-08-2019,90.56,98.62,81.48,91.51,70966749.00,0.00
13-08-2019,91.33,101.02,79.56,98.57,128545327.00,0.00
14-08-2019,98.56,100.96,89.40,93.43,122851557.00,0.00
15-08-2019,93.43,97.47,88.82,94.32,97183481.00,0.00
16-08-2019,94.31,95.02,85.40,92.16,42239587.00,0.00
17-08-2019,92.17,97.30,87.85,93.70,38903638.00,0.00
18-08-2019,93.70,94.91,86.57,92.71,22893906.00,0.00
19-08-2019,93.34,96.89,86.34,94.25,143017846.00,0.00
20-08-2019,94.25,147.74,87.77,90.08,86866401.00,0.00
21-08-2019,90.08,95.23,87.11,92.59,239954584.00,0.00
22-08-2019,92.59,92.64,84.07,87.91,152553944.00,0.00
23-08-2019,87.91,88.45,82.23,85.03,126665372.00,0.00
24-08-2019,85.03,85.12,80.12,84.00,82341412.00,0.00
25-08-2019,84.00,90.68,80.60,88.40,129289029.00,0.00
26-08-2019,88.58,89.89,83.83,84.51,99496239.00,0.00
27-08-2019,84.52,88.08,80.86,82.90,145331052.00,0.00
28-08-2019,82.88,85.30,79.62,80.49,162096008.00,0.00
29-08-2019,80.48,85.42,79.37,82.24,137423425.00,0.00
30-08-2019,82.24,84.86,81.56,83.82,164943954.00,0.00
31-08-2019,83.86,85.18,81.90,84.24,286314780.00,0.00
01-09-2019,84.19,84.45,82.22,83.16,442719730.00,0.00
02-09-2019,83.16,84.15,82.36,83.26,480088729.00,0.00
03-09-2019,83.24,89.64,80.01,88.96,1163620168.00,0.00
04-09-2019,88.92,88.95,81.57,84.79,107013247.00,0.00
05-09-2019,84.78,85.62,82.57,83.50,73190377.00,0.00
06-09-2019,83.50,84.95,81.18,81.23,149284355.00,0.00
07-09-2019,81.24,83.82,75.67,83.42,124525284.00,0.00
08-09-2019,83.39,84.04,82.44,82.74,66406273.00,0.00
09-09-2019,82.74,82.97,78.87,79.98,122010885.00,0.00
10-09-2019,80.01,80.38,75.11,78.45,90031033.00,0.00
11-09-2019,78.45,78.93,75.42,76.13,114859329.00,0.00
12-09-2019,76.13,75.84,74.91,75.92,60822880.00,0.00
13-09-2019,75.93,75.62,74.61,75.10,54732994.00,0.00
14-09-2019,75.08,75.74,74.94,75.32,52401621.00,0.00
15-09-2019,75.32,75.81,74.56,74.88,50089632.00,0.00
16-09-2019,74.87,74.95,72.07,72.75,64554952.00,0.00
17-09-2019,72.61,75.86,71.29,75.02,96400198.00,0.00
18-09-2019,75.02,75.12,74.21,74.24,51846343.00,0.00
19-09-2019,74.29,74.29,70.10,71.12,79180796.00,0.00
20-09-2019,70.69,129.34,69.24,70.30,54464016.00,0.00
21-09-2019,70.27,70.33,68.80,69.15,34867873.00,0.00
22-09-2019,69.15,69.26,66.41,69.26,44184840.00,0.00
23-09-2019,69.24,69.56,67.08,68.00,52752976.00,0.00
24-09-2019,67.99,68.63,58.60,58.60,67370480.00,0.00
25-09-2019,58.64,60.35,58.30,59.81,87128571.00,0.00
26-09-2019,59.80,60.21,56.97,58.14,65893372.00,0.00
27-09-2019,58.56,58.85,57.53,58.44,62758543.00,0.00
28-09-2019,58.44,59.73,58.20,58.95,44279583.00,0.00
29-09-2019,58.97,59.78,57.77,58.88,39413632.00,0.00
30-09-2019,58.88,72.59,58.12,72.42,107142903.00,0.00
01-10-2019,72.65,76.32,64.08,64.08,154008195.00,0.00
02-10-2019,64.08,64.30,58.19,59.02,122079569.00,0.00
03-10-2019,59.02,59.34,54.36,54.36,128231099.00,0.00
04-10-2019,54.36,55.37,49.95,50.26,121130540.00,0.00
05-10-2019,50.26,51.01,47.80,51.01,89756529.00,0.00
06-10-2019,50.89,52.73,49.21,50.38,54998364.00,0.00
07-10-2019,50.35,50.58,47.88,50.35,69325235.00,0.00
08-10-2019,50.40,51.05,49.22,49.98,42396799.00,0.00
09-10-2019,49.98,50.16,49.22,49.42,36846465.00,0.00
10-10-2019,49.43,53.47,48.87,51.87,95479473.00,0.00
11-10-2019,51.88,52.44,50.06,50.67,63620925.00,0.00
12-10-2019,50.63,51.38,49.77,50.06,65007988.00,0.00
13-10-2019,50.18,51.25,50.09,50.29,50644616.00,0.00
14-10-2019,50.29,50.42,47.41,47.82,116791930.00,0.00
15-10-2019,47.87,47.86,42.15,42.66,92686447.00,12134284647.00
16-10-2019,42.66,42.78,38.47,39.42,69222478.00,11272784029.00
