Date,Open,High,Low,Close,Volume,Market Cap
20-09-2019,71.49,71.54,70.87,71.31,18272044.00,0.00
21-09-2019,71.30,71.71,71.21,71.35,12308228.00,0.00
22-09-2019,71.37,71.71,71.10,71.42,10722938.00,0.00
23-09-2019,71.46,71.80,70.77,70.97,109095332.00,0.00
24-09-2019,70.97,75.21,70.61,71.49,291043870.00,0.00
25-09-2019,71.42,71.83,70.82,71.40,64517665.00,0.00
26-09-2019,71.38,72.69,70.84,71.33,100361572.00,0.00
27-09-2019,71.31,71.33,70.75,71.25,31496136.00,0.00
28-09-2019,71.25,71.54,70.13,70.67,25890746.00,0.00
29-09-2019,70.71,71.89,70.63,70.75,19014011.00,0.00
30-09-2019,70.75,71.71,70.40,70.89,53347980.00,0.00
01-10-2019,70.90,71.95,70.43,71.41,62601596.00,0.00
02-10-2019,71.41,71.65,71.11,71.37,40550347.00,0.00
03-10-2019,71.37,71.71,70.81,71.24,29658271.00,0.00
04-10-2019,71.23,71.90,70.84,71.14,9836006.00,0.00
05-10-2019,71.14,71.45,70.60,70.94,10472507.00,0.00
06-10-2019,70.94,72.41,70.71,71.84,24735969.00,0.00
07-10-2019,71.79,72.02,70.46,71.35,49130885.00,712332622.00
08-10-2019,71.32,71.87,70.95,71.63,45727541.00,716489893.00
09-10-2019,71.63,71.80,70.67,71.40,239311117.00,716577299.00
10-10-2019,71.37,71.32,70.66,71.00,36191767.00,712768279.00
11-10-2019,71.01,72.00,70.20,71.71,118579044.00,718013883.00
12-10-2019,71.73,71.96,71.05,71.30,136405229.00,714490136.00
13-10-2019,71.30,72.16,71.06,71.21,211697399.00,714919242.00
14-10-2019,71.21,71.75,70.69,71.46,242903850.00,724979293.00
15-10-2019,71.46,72.47,71.30,71.79,307533225.00,778624783.00
16-10-2019,71.79,72.26,71.42,71.79,703940809.00,751447442.00
17-10-2019,71.79,72.00,71.30,71.39,717364367.00,750428330.00
18-10-2019,71.43,72.28,71.13,71.25,798826669.00,829468253.00
19-10-2019,71.28,71.76,70.97,71.52,946552738.00,832202572.00
20-10-2019,71.50,71.68,70.87,71.12,839297621.00,783370911.00
21-10-2019,71.12,71.40,70.79,71.10,282501047.00,830890709.00
22-10-2019,71.08,71.48,70.95,71.12,314054198.00,1077662591.00
23-10-2019,71.09,73.42,70.91,70.95,555737479.00,1075791097.00
24-10-2019,70.92,71.60,70.87,71.53,379158172.00,1624020058.00
25-10-2019,71.53,71.66,68.93,70.89,1029004809.00,1610179984.00
26-10-2019,70.85,71.88,68.28,70.85,2027861213.00,1467197867.00
27-10-2019,70.85,71.56,69.00,70.99,1155763174.00,1543277236.00
28-10-2019,70.90,71.37,69.07,70.86,904497865.00,1447347540.00
29-10-2019,70.86,71.97,70.21,70.91,1060904423.00,1461929709.00
30-10-2019,70.96,71.37,70.66,71.19,816951390.00,1292013759.00
31-10-2019,71.21,73.39,70.52,71.36,809721853.00,1254804259.00
01-11-2019,71.37,71.64,70.66,70.89,751715453.00,1235836206.00
02-11-2019,70.89,71.26,70.43,70.73,482390808.00,1231449047.00
03-11-2019,70.74,71.33,70.36,70.76,471781899.00,1228913670.00
04-11-2019,70.75,71.22,70.24,70.94,1169255226.00,1274097947.00
05-11-2019,70.94,71.47,70.35,71.01,1248995948.00,1071433223.00
06-11-2019,71.05,71.45,71.06,71.16,852285100.00,1532105874.00
07-11-2019,71.17,71.64,70.88,71.53,776086288.00,1508586227.00
08-11-2019,71.51,72.35,71.25,71.64,821932505.00,1588705102.00
09-11-2019,71.62,71.97,71.32,71.41,432010745.00,1590980397.00
10-11-2019,71.40,71.91,70.50,71.51,433602979.00,1593373080.00
11-11-2019,71.51,72.42,71.32,71.88,554598683.00,1493812104.00
12-11-2019,71.90,72.72,71.76,71.98,658404485.00,1379052494.00
13-11-2019,71.98,72.77,71.88,72.44,466767562.00,1288708871.00
14-11-2019,72.46,73.20,72.28,72.55,422491067.00,1208921260.00
15-11-2019,72.55,73.17,71.53,71.88,474327027.00,1284392801.00
16-11-2019,71.89,72.54,71.83,72.24,242812401.00,1284545264.00
17-11-2019,72.24,73.05,71.95,72.24,355828616.00,1284838555.00
18-11-2019,72.22,73.68,72.44,72.99,555315282.00,1300026030.00
19-11-2019,73.04,73.95,72.15,72.62,444025538.00,1275924343.00
20-11-2019,72.62,73.36,72.07,72.27,303888381.00,1433386001.00
21-11-2019,72.24,73.95,71.90,71.96,628144324.00,1414057772.00
22-11-2019,71.96,73.65,71.30,71.87,1219847617.00,1389118713.00
23-11-2019,71.89,73.07,71.62,72.57,650208719.00,1403605993.00
24-11-2019,72.62,73.89,71.87,73.12,1148507003.00,1414242004.00
25-11-2019,72.86,73.77,71.28,71.83,792935663.00,1470234257.00
26-11-2019,71.81,72.90,71.22,72.06,433074209.00,1480197045.00
27-11-2019,71.68,73.49,69.98,71.48,687440366.00,1454188777.00
28-11-2019,71.38,73.65,71.15,71.82,584060219.00,1388841657.00
29-11-2019,71.80,72.37,71.08,71.98,658018370.00,1290814916.00
30-11-2019,71.98,72.70,71.64,71.86,355146661.00,1292078300.00
01-12-2019,71.87,73.61,71.43,71.83,750319664.00,1291717430.00
02-12-2019,71.87,72.99,71.01,71.70,478738729.00,1375490139.00
03-12-2019,71.70,72.52,70.85,71.91,384645142.00,1342043186.00
04-12-2019,71.90,72.61,69.78,72.06,924526706.00,1304357328.00
05-12-2019,72.06,73.77,71.38,71.98,643433905.00,1319970112.00
06-12-2019,71.98,72.24,71.05,71.46,590038099.00,1316504776.00
07-12-2019,71.46,71.93,71.30,71.76,312079471.00,1320148242.00
08-12-2019,71.76,72.16,71.40,71.66,285823013.00,1318386036.00
09-12-2019,71.66,71.98,70.95,71.35,534560947.00,1309975198.00
10-12-2019,71.35,71.59,70.86,71.26,512343156.00,1419428581.00
11-12-2019,71.29,71.80,70.90,70.93,367472049.00,1295730186.00
12-12-2019,70.93,71.77,70.59,71.07,436516678.00,1270446298.00
13-12-2019,71.07,71.11,70.77,70.86,484003734.00,1237296772.00
14-12-2019,70.86,71.59,70.52,71.25,524650621.00,1246199911.00
15-12-2019,71.25,71.41,69.28,71.10,397241013.00,1243633812.00
16-12-2019,71.10,72.40,71.00,71.34,535396566.00,1197669916.00
17-12-2019,71.34,72.55,70.67,71.06,830154068.00,1270429244.00
18-12-2019,71.06,72.87,70.24,71.21,1314478897.00,1255362275.00
19-12-2019,71.21,72.25,70.59,71.85,597928395.00,1298951492.00
20-12-2019,71.85,72.04,70.55,71.47,470142786.00,1253957452.00
21-12-2019,71.47,71.80,71.11,71.61,285686834.00,1254116309.00
22-12-2019,71.61,71.76,71.04,71.22,571087444.00,1247292641.00
23-12-2019,71.19,72.18,71.01,71.47,813280975.00,1225596677.00
24-12-2019,71.49,73.13,71.25,71.93,583372181.00,1222775160.00
25-12-2019,71.93,72.50,71.56,72.09,343004264.00,1226042805.00
26-12-2019,72.11,72.34,71.03,71.69,423640825.00,1218676142.00
27-12-2019,71.71,73.03,71.14,71.92,283726093.00,1221030485.00
28-12-2019,71.90,72.14,71.58,71.58,230583280.00,1217429089.00
29-12-2019,71.58,73.35,71.52,71.78,304457582.00,1220707100.00
30-12-2019,71.77,72.44,71.74,71.98,285940436.00,1226216158.00
31-12-2019,71.98,72.15,71.38,71.53,212558737.00,1216933797.00
01-01-2020,71.51,71.65,71.32,71.47,120861475.00,1216777121.00
02-01-2020,71.47,72.28,71.32,71.56,320843819.00,1215004970.00
03-01-2020,71.72,72.25,70.62,72.10,661417120.00,1219267470.00
04-01-2020,72.08,72.94,71.83,72.37,392531333.00,1230867993.00
05-01-2020,72.34,72.93,72.05,72.35,460506207.00,1230543180.00
06-01-2020,72.33,72.81,71.67,71.91,691420600.00,1917688374.00
07-01-2020,71.91,72.59,71.53,72.02,1247650676.00,1934438343.00
08-01-2020,72.02,72.53,71.30,71.86,1431841112.00,1800280143.00
09-01-2020,71.76,71.95,71.28,71.73,785904704.00,1779106122.00
10-01-2020,71.73,72.11,70.55,71.00,1201398347.00,1706073214.00
11-01-2020,71.00,71.54,70.61,71.10,736729436.00,1704312397.00
12-01-2020,71.03,71.64,70.66,71.17,606871057.00,1705146261.00
13-01-2020,71.09,71.61,70.76,71.01,465496472.00,1657390147.00
14-01-2020,71.03,72.03,70.49,71.00,2224958562.00,1604758266.00
15-01-2020,70.92,72.66,70.40,70.73,1703957162.00,1421210253.00
16-01-2020,70.78,71.43,70.57,71.00,1038450406.00,1322924044.00
