Date,Open,High,Low,Close,Volume,Market Cap
06-04-2020,4.98,5.75,2.97,3.78,2535081.00,0.00
07-04-2020,3.79,5.23,2.82,3.61,2935816.00,0.00
08-04-2020,3.68,4.11,1.23,2.74,3088644.00,0.00
09-04-2020,2.74,3.19,1.93,1.94,1616471.00,0.00
10-04-2020,1.93,2.61,1.07,2.03,2410784.00,181626782.00
11-04-2020,2.03,2.46,1.62,2.20,1409791.00,197378191.00
12-04-2020,2.19,2.53,1.82,2.45,1654908.00,219311590.00
13-04-2020,2.45,2.50,1.10,1.66,1051893.00,148891464.00
14-04-2020,1.66,2.48,1.15,1.95,1400017.00,175718147.00
15-04-2020,1.95,2.59,1.58,2.22,1560289.00,197849475.00
16-04-2020,2.22,2.65,2.02,2.36,3222520.00,210277420.00
17-04-2020,2.36,2.52,1.74,2.38,1889340.00,214185460.00
18-04-2020,2.38,2.83,2.13,2.54,2501277.00,227202212.00
19-04-2020,2.42,3.00,2.30,2.55,2266880.00,228615047.00
20-04-2020,2.50,4.93,1.34,1.88,1822892.00,168051780.00
21-04-2020,2.72,3.53,1.46,2.41,4078426.00,214470292.00
22-04-2020,2.41,3.45,2.41,2.61,137227906.00,235131538.00
23-04-2020,2.60,3.02,2.47,2.96,198135262.00,266619725.00
24-04-2020,2.96,3.09,2.96,3.09,127338831.00,275709994.00
25-04-2020,3.09,5.70,3.08,5.29,82019138.00,474219927.00
26-04-2020,5.29,5.33,4.43,4.43,122800768.00,396598574.00
27-04-2020,4.43,7.67,4.10,6.61,414166377.00,1366095121.00
28-04-2020,6.62,7.60,5.69,5.72,281489777.00,1183352316.00
29-04-2020,5.71,5.78,2.31,2.82,4978160469.00,587655381.00
30-04-2020,2.81,3.28,2.44,2.53,12677981177.00,521258245.00
01-05-2020,2.53,2.71,2.49,2.53,2574474071.00,518586648.00
02-05-2020,2.53,2.60,2.39,2.42,120681561.00,500186665.00
03-05-2020,2.42,2.43,2.03,2.04,163956136.00,423173305.00
04-05-2020,2.05,2.05,1.82,1.82,178139656.00,375194837.00
05-05-2020,1.83,1.84,1.69,1.70,86558243.00,460473098.00
06-05-2020,1.71,1.77,1.58,1.59,77635512.00,431595010.00
07-05-2020,1.59,1.74,1.52,1.70,135679834.00,465811132.00
08-05-2020,1.70,1.70,1.52,1.54,57340102.00,419567208.00
09-05-2020,1.54,1.58,1.50,1.55,25979088.00,420266970.00
10-05-2020,1.55,1.55,1.30,1.36,51723791.00,368456090.00
11-05-2020,1.35,1.52,1.22,1.42,161545161.00,382901662.00
12-05-2020,1.42,1.57,1.34,1.57,349190193.00,429197872.00
13-05-2020,1.57,1.62,1.33,1.36,147416783.00,369376258.00
14-05-2020,1.36,1.40,1.22,1.27,218937667.00,345975919.00
15-05-2020,1.27,1.28,1.23,1.24,52143645.00,336160090.00
16-05-2020,1.24,1.26,1.20,1.20,139023079.00,327391536.00
17-05-2020,1.20,1.93,1.18,1.34,326634794.00,364409796.00
18-05-2020,1.34,1.39,1.23,1.31,273623350.00,358561184.00
19-05-2020,1.31,1.56,1.30,1.38,188177940.00,374554642.00
20-05-2020,1.38,1.38,1.23,1.26,178903279.00,342161554.00
21-05-2020,1.25,1.32,1.17,1.20,191829523.00,325646716.00
22-05-2020,1.20,1.30,1.20,1.22,99701044.00,329512281.00
23-05-2020,1.22,1.27,1.21,1.26,142050513.00,342357490.00
24-05-2020,1.26,1.40,1.24,1.27,176408780.00,344934487.00
25-05-2020,1.26,1.33,1.25,1.32,116569346.00,360728680.00
26-05-2020,1.33,1.34,1.29,1.31,81561939.00,356398118.00
27-05-2020,1.31,1.32,1.25,1.28,145208638.00,470266153.00
28-05-2020,1.28,1.32,1.26,1.26,149878401.00,594992515.00
29-05-2020,1.26,1.34,1.20,1.22,338791976.00,762062237.00
30-05-2020,1.23,1.23,1.17,1.17,219616818.00,730172135.00
31-05-2020,1.18,1.66,1.15,1.20,281326477.00,747311539.00
01-06-2020,1.20,1.25,1.16,1.19,213594824.00,738937812.00
02-06-2020,1.19,1.24,1.14,1.15,153844578.00,722689027.00
03-06-2020,1.15,1.42,1.15,1.20,120712307.00,747904560.00
04-06-2020,1.20,1.23,1.18,1.20,82871523.00,746106632.00
05-06-2020,1.20,1.22,1.16,1.17,226056072.00,733166974.00
06-06-2020,1.17,1.20,1.16,1.20,124124702.00,755217094.00
07-06-2020,1.20,1.30,1.17,1.28,385057958.00,805685447.00
